# https://patronite.pl/kategoria/47/polityka?page=1
polityka|https://patronite.pl/Holizm|Holizm|3|25 zł|160 zł
polityka|https://patronite.pl/RadykalnyPasywista|Radykalny Pasywista - podcast|17|837 zł|5903 zł
polityka|https://patronite.pl/radiownet|Radio Wnet|2765|116430 zł|182 000 zł
polityka|https://patronite.pl/krz_luksza|Krzysztof Łuksza|24|978 zł|2761 zł
polityka|https://patronite.pl/fundacjabasta|Fundacja Basta|0|0 zł|0 zł
polityka|https://patronite.pl/lepszejutro|Stowarzyszenie Lepsze Jutro|6|210 zł|10 000 zł
polityka|https://patronite.pl/antosorlos|Antoś Orłoś|24|785 zł|5855 zł
polityka|https://patronite.pl/dorotabawolek|Dorota Bawołek|9|480 zł|16 000 zł
polityka|https://patronite.pl/dlr|Dwie Lewe Ręce|862|37775 zł|201 000 zł
polityka|https://patronite.pl/starczyk|Kamil Starczyk|0|0 zł|27 zł
# https://patronite.pl/kategoria/47/polityka?page=6
polityka|https://patronite.pl/wszewko|Wojciech Szewko|565|29360 zł|152 000 zł
polityka|https://patronite.pl/psychodeliki|Polskie Towarzystwo Psychodeliczne|152|3850 zł|12 000 zł
polityka|https://patronite.pl/aryo|Aryo|14|483 zł|3603 zł
polityka|https://patronite.pl/PLSE|Polska Sieć Ekonomii|33|1450 zł|8430 zł
polityka|https://patronite.pl/radiozabierzow.pl|RADIO Zabierzów|0|0 zł|45 zł
polityka|https://patronite.pl/tosek2|wymiary historii|0|0 zł|0 zł
polityka|https://patronite.pl/jaszatkovsky|Juliusz Aleksadner Szatkowski|2|100 zł|1090 zł
polityka|https://patronite.pl/Polityka_po_nordycku|Mateusz Gibała|0|0 zł|0 zł
polityka|https://patronite.pl/sekularysta|Piotr Szkutnik - Sekularysta|0|0 zł|0 zł
polityka|https://patronite.pl/glosujnakobiete|Głosuj na Kobietę|0|0 zł|60 zł
polityka|https://patronite.pl/slazag|Ślązag|18|545 zł|6300 zł
polityka|https://patronite.pl/ArturMicek|Artur  Micek|9|155 zł|2245 zł
# https://patronite.pl/kategoria/47/polityka?page=7
polityka|https://patronite.pl/www.neweurope.pl|New Europe Foundation|9|0|0
polityka|https://patronite.pl/maclawyer.eu|MacLawye®|0|0 zł|0 zł
polityka|https://patronite.pl/kurator.sadowy|Kurator Sądowy|3|50 zł|1050 zł
polityka|https://patronite.pl/gabrieljackowski|Gabriel Jackowski|0|0 zł|0 zł
polityka|https://patronite.pl/Frontiersman|Frontiersman|7|166 zł|3064 zł
polityka|https://patronite.pl/Gadowski|Witold Gadowski|470|20115 zł|207 000 zł
polityka|https://patronite.pl/zzzzzz|zz|0|0 zł|210 zł
polityka|https://patronite.pl/v4slav|Viacheslav Zarutskii|31|790 zł|32 000 zł
polityka|https://patronite.pl/wjakobik|Wojciech Jakóbik|0|0 zł|0 zł
polityka|https://patronite.pl/piasecki|Maciek Piasecki|3|100 zł|4115 zł
polityka|https://patronite.pl/miloszmiedzyinnymi|Miłosz.między.innymi|62|1550 zł|53 000 zł
polityka|https://patronite.pl/jakubdymek|Jakub Dymek|11|305 zł|10 000 zł
# https://patronite.pl/kategoria/47/polityka?page=8
polityka|https://patronite.pl/DawidBlaszkiewicz|Dawid Błaszkiewicz|0|0 zł|30 zł
polityka|https://patronite.pl/toiowo|Mazowieckie To i Owo|0|0 zł|250 zł
polityka|https://patronite.pl/WiesciZeWschodu|Wieści ze Wschodu|0|0 zł|390 zł
polityka|https://patronite.pl/ORB|ORB|391|7795 zł|82 000 zł
polityka|https://patronite.pl/cak-gniazdo|Centrum Aktywizmu Klimatycznego "Gniazdo" w Warszawie|19|970 zł|13 000 zł
polityka|https://patronite.pl/okiem.tradycjonalisty|Okiem Tradycjonalisty|93|2265 zł|0
polityka|https://patronite.pl/marcinrey|Marcin Rey|0|0 zł|600 zł
polityka|https://patronite.pl/ukrainskitelegraf|Ukraiński Telegraf|0|0 zł|0 zł
polityka|https://patronite.pl/AndromedaYT|Andromeda|226|4740 zł|76 000 zł
polityka|https://patronite.pl/badembassy|Zła Ambasada|9|85 zł|6645 zł
polityka|https://patronite.pl/KongresKK|Kongres Katoliczek i Katolików|7|185 zł|3120 zł
# https://patronite.pl/kategoria/47/polityka?page=9
polityka|https://patronite.pl/drpiotrnapierala|Piotr Napierała|128|3620 zł|73 000 zł
polityka|https://patronite.pl/waszeforumdialogu|WaszeForum Dialogu|0|0 zł|950 zł
polityka|https://patronite.pl/Wczterystronyswiata|W cztery strony świata|2|20 zł|190 zł
polityka|https://patronite.pl/TOSIA|TOSIA XD|0|0 zł|0 zł
polityka|https://patronite.pl/OrphanedByGenesis|Orphaned By Genesis|0|0 zł|9 zł
polityka|https://patronite.pl/Wobliczuzmian|W Obliczu Zmian|18|480 zł|5770 zł
polityka|https://patronite.pl/szydercawloczykij|Szyderczy Włóczykij|0|0 zł|42 zł
polityka|https://patronite.pl/tzt|TakŻeTego|78|2127 zł|94 000 zł
polityka|https://patronite.pl/projektwrzesnia|Projekt Września|4|147 zł|3507 zł
polityka|https://patronite.pl/modeslonzoki|Modé_Ślōnŏki|0|0 zł|249 zł
polityka|https://patronite.pl/ftdl|ftdl.pl|1|16 zł|16 zł
polityka|https://patronite.pl/gminakornik|Gminakornik.pl|0|0 zł|0 zł
# https://patronite.pl/kategoria/47/polityka?page=10
polityka|https://patronite.pl/koninmamprawowiedziec|Konin. Mam Prawo Wiedzieć|0|0 zł|1445 zł
polityka|https://patronite.pl/namyslowska.pl|Namysłowska.pl|0|0 zł|4830 zł
polityka|https://patronite.pl/odsluch|Odsłuch społeczny|0|0 zł|0 zł
polityka|https://patronite.pl/fleterkrzysiek.blogspot.com|Krzysiek Fleter|6|93 zł|2082 zł
polityka|https://patronite.pl/albertbartosz|Albert Bartosz|0|0 zł|0 zł
polityka|https://patronite.pl/Antyfoliarz|Antyfoliarz|0|0 zł|30 zł
polityka|https://patronite.pl/GeekePL|Geeke|0|0 zł|0 zł
polityka|https://patronite.pl/wPunkt|wPunkt|0|0 zł|120 zł
polityka|https://patronite.pl/Politicalnewss|PoliticalNews|0|0 zł|0 zł
polityka|https://patronite.pl/videoparlament|videoparlament|0|0 zł|60 zł
polityka|https://patronite.pl/wei.org.pl|Warsaw Enterprise Insitutue|37|1019 zł|30 000 zł
polityka|https://patronite.pl/www.wsp.waw.pl|Warszawski Serwis Prasowy|0|0 zł|0 zł
# https://patronite.pl/kategoria/47/polityka?page=11
polityka|https://patronite.pl/lepszezabrze|Lepsze Zabrze|2|20 zł|720 zł
polityka|https://patronite.pl/homokomando|Homokomando|6|125 zł|8525 zł
polityka|https://patronite.pl/redakcjaflash|FLASH - Redakcja Niepokorna|0|0 zł|500 zł
polityka|https://patronite.pl/Exen|Exen|0|0 zł|0 zł
polityka|https://patronite.pl/bawer-aondo|Bawer Aondo-Akaa|2|60 zł|10 000 zł
polityka|https://patronite.pl/xxwiek|xx_wiek|0|0 zł|0 zł
polityka|https://patronite.pl/stalinek7|Filipiny moja historia|0|0 zł|2150 zł
polityka|https://patronite.pl/VolnyChor|Volny Chor|1|20 zł|1480 zł
polityka|https://patronite.pl/ZbigniewKOMOSA|Zbigniew Komosa|6|170 zł|6120 zł
polityka|https://patronite.pl/radykalnysymetryzm|Radykalny symetryzm|0|0 zł|480 zł
polityka|https://patronite.pl/Ekowyborca|Ekowyborca|2|100 zł|1790 zł
polityka|https://patronite.pl/Lodzkiedziewuchy|Stowarzyszenie Łódzkie Dziewuchy Dziewuchom|0|0 zł|210 zł
# https://patronite.pl/kategoria/47/polityka?page=12
polityka|https://patronite.pl/wiedzaonline|wiedzaonline|0|0 zł|0 zł
polityka|https://patronite.pl/Zyvi|Fundacją Żyvi oraz inicjatywa FreeShop Partyzanka|0|0 zł|30 zł
